Date - 07-MAY-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number - MU25048001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name - Count & Viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number - 1.9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For Research Use Only. Not for use in diagnostic procedures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cell Count Information,,Cell Concentration Information(cells/mL),,% of Total Information,,Mean Fluorescence (YEL) Information,,Median Fluorescence (YEL) Information,,%CV Fluorescence (YEL) Information,,Mean Fluorescence (RED) Information,,Median Fluorescence (RED) Information,,%CV Fluorescence (RED) Information,,Mean (FSC) Information,,Median (FSC) Information,,%CV (FSC) Information,,,,,,,,,,,Viability Marker,,,,,,,,,,,,,,,,,,
 Sample No., Sample ID, Number of Events, Dilution Factor, Original Volume, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Viable, Dead, Total Cell Concentration (cells/mL), Total Viable Cells in Original Sample, Total Dead Cells in Original Sample, Total Cells in Original Sample, FSC Count, RED Count, Viable Cell Count, Nucleated Cell Count, Dead Cell Count, X1, Angle 1, Cells/µL, Total Volume Acquired (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, Date of Analysis, Time of Analysis, FSC Gain, YEL Gain, RED Gain, FSC Threshold, YEL Threshold, RED Threshold, Flow Rate (µL/sec), User Login Name, User Full Name,
1, N1,1000,40,1,369,631,806816.19,1379677.5,36.9,63.1,2.17,71.56,1.79,53.2,63.16,187.43,99.06,121.8,85.62,92.58,58.13,120.87,343.73,173.32,278.46,76.98,55.29,138.18,2186493.75,806816.19,1379677.5,2186493.75,1000,1036,369,1000,631,0.057,43.45,56.63,18.29,31.01, 07-MAY-2025, 17:10:44, 07-MAY-2025, 17:10:44,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
2, N2,1000,40,1,293,707,571193.75,1378273,29.3,70.7,2.27,74.81,1.62,56.31,158.12,209.74,99.1,103.45,71,96.98,142.37,53.08,320.8,136.58,272.78,76.17,69.41,121.45,1949466.88,571193.75,1378273,1949466.88,1000,1032,293,1000,707,0.057,43.45,50.3,20.52,34.78, 07-MAY-2025, 17:11:57, 07-MAY-2025, 17:11:57,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
3, N3,1000,40,1,313,687,770919.75,1692082.63,31.3,68.7,2.03,57.03,1.65,54.59,58.55,142.32,84.64,98.34,73.03,94.03,54.45,57.82,327.24,140.5,283.07,82.26,51.56,111.77,2463002.5,770919.75,1692082.63,2463002.5,1000,1092,313,1000,687,0.057,43.45,67.24,16.24,27.53, 07-MAY-2025, 17:13:00, 07-MAY-2025, 17:13:00,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
4, N4,1000,40,1,112,888,578619.19,4587624,11.2,88.8,1.9,60.26,1.63,55.51,55.71,89.2,73.87,106.88,65.99,93.3,50.33,84.26,308.53,130,268.3,86.81,47.66,129.91,5166243,578619.19,4587624,5166243,1000,1095,112,1000,888,0.057,43.45,141.43,7.74,13.12, 07-MAY-2025, 17:13:39, 07-MAY-2025, 17:13:39,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
5, N5,1000,40,1,244,756,484814.97,1502131.63,24.4,75.6,2.16,46.46,1.6,49.38,111.41,68.57,88.18,89.58,75.59,86.72,89.49,60.41,333.2,130.39,298.17,85.68,58.43,109.88,1986946.63,484814.97,1502131.63,1986946.63,1000,1056,244,1000,756,0.057,43.45,52.46,20.13,34.12, 07-MAY-2025, 17:14:54, 07-MAY-2025, 17:14:54,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
6, N6,1000,40,1,218,782,916795.5,3288688.5,21.8,78.2,2.13,56.56,1.6,53.62,107.95,90.88,93.75,114.69,72.26,96.52,87.72,85.87,379.99,194.66,348.31,111.28,53.03,121.92,4205484,916795.5,3288688.5,4205484,1000,1102,218,1000,782,0.057,43.45,115.86,9.51,16.12, 07-MAY-2025, 17:15:52, 07-MAY-2025, 17:15:52,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
7, N7,1000,40,1,196,804,697539.88,2861337,19.6,80.4,2.03,63.9,1.73,55.87,53.74,215.67,78.17,117.45,66.56,94.87,53.8,199.44,339.59,143.81,296.98,72.08,55.91,167.13,3558876.75,697539.88,2861337,3558876.75,1000,1053,196,1000,804,0.057,43.45,93.69,11.24,19.05, 07-MAY-2025, 17:16:54, 07-MAY-2025, 17:16:54,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
8, S1,1000,40,1,461,539,2516039,2941746.25,46.1,53.9,1.86,42.64,1.54,51.38,74.49,76.17,78.39,94.29,67.45,91.84,61.73,59.68,311.23,168.57,273.85,94.71,53.73,112.2,5457785,2516039,2941746.25,5457785,1000,1058,461,1000,539,0.057,43.45,144.36,7.33,12.42, 07-MAY-2025, 17:18:40, 07-MAY-2025, 17:18:40,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
9, S2,1000,40,1,284,716,1649891.75,4159586.25,28.4,71.6,1.89,47.19,1.61,52.79,61.89,55.98,84.23,92.07,71.6,91.56,63.12,54.19,323.79,138.32,295.6,76,49.12,121.54,5809478,1649891.75,4159586.25,5809478,1000,1083,284,1000,716,0.057,43.45,157.29,6.89,11.67, 07-MAY-2025, 17:19:31, 07-MAY-2025, 17:19:31,3,4.6,2.3,10,0,30,0.59, AV, aakriti, 
